CalcLineID,FullKey,Weight,Notes,ShortKey,In FIN Data Flow,CalcandKey,Count
12,0000000900,1,ADD: Other Revex,900,Yes,12900,1
12,0000000910,1,ADD: Production Costs – Overheads,910,Yes,12910,1
12,0000000920,1,ADD: Overheads,920,Yes,12920,1
12,0000000921,1,ADD: Special Items - Cash Cost Ratex,921,Yes,12921,1
12,0000001190,1,ADD: COSA - copy 1 (reversed),1190,Yes,121190,1
12,0000001250,1,ADD: Interest & Dividends Receivable,1250,Yes,121250,1
12,0000001360,1,ADD: Payments from Other Provisions,1360,Yes,121360,1
12,0000001380,1,ADD: Capitalised Interest Paid,1380,Yes,121380,1
12,0000001390,1,ADD: Interest Received,1390,Yes,121390,1
12,0000001690,1,ADD: Other Non Cash Items add back -Input,1690,Yes,121690,1
12,0000001730,1,ADD: M&T Cash Costs,1730,Yes,121730,1
12,0000002840,1,ADD: Other Income Input,2840,Yes,122840,1
12,0000002920,1,ADD: Share of interest expense in Related Company,2920,Yes,122920,1
12,0000008010,1,ADD: Exploration Write-off Dry Hole (BU Owned),8010,Yes,128010,1
12,0000010210,1,ADD: Impairment - Expl Leasehold,10210,Yes,1210210,1
12,0000012180,1,ADD: Exploration WO Dry Hole (reversed),12180,Yes,1212180,1
12,0000012190,1,ADD: Other Provisions (reversed),12190,Yes,1212190,1
12,0000012200,1,ADD: Total DDA & Impairments (reversed),12200,Yes,1212200,1
12,0000012660,1,ADD: Special Items Non-cash Costs (reversed),12660,Yes,1212660,1
12,0000012670,1,ADD: Related Company Income (reversed),12670,Yes,1212670,1
12,0000012680,1,ADD: P/L on Sale of Operations (reversed),12680,Yes,1212680,1
12,0000013522,1,ADD: Total Inventory - Product & Stores CF,13522,Yes,1213522,1
12,0000013524,1,ADD: Total Debtors CF,13524,Yes,1213524,1
12,0000013525,1,ADD: Total Creditors CF,13525,Yes,1213525,1
12,0000013531,1,ADD: Total Dividend Received (incl. from Related Company),13531,Yes,1213531,1
